"","Date","Time","Latitude","Longitude","Species","Multispecies","Total.zebras","DazzleID"
"3","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"4","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"12","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"19","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"22","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"30","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"42","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"51","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"58","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"310","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.1","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.2","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.3","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.4","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.5","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.6","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.7","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.8","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.9","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.10","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.11","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.12","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.13","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.14","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.15","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.16","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.17","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.18","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.19","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.20","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.21","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.22","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.23","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.24","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"3.25","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"410","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.1","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.2","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.3","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.4","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.5","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.6","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.7","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.8","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.9","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.10","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.11","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.12","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.13","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.14","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.15","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"4.16","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"121","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.1","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.2","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.3","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.4","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.5","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.6","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.7","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.8","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.9","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.10","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.11","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.12","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.13","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.14","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.15","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.16","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.17","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.18","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.19","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.20","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.21","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.22","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.23","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.24","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.25","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.26","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.27","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.28","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.29","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.30","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.31","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.32","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.33","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.34","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.35","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.36","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.37","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.38","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.39","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.40","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.41","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.42","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"12.43","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"191","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.1","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.2","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.3","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.4","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.5","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.6","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.7","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.8","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.9","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.10","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.11","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.12","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.13","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.14","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"19.15","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"221","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.1","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.2","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.3","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.4","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.5","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.6","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.7","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.8","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"22.9","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"301","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.1","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.2","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.3","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.4","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.5","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.6","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.7","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.8","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.9","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"30.10","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"421","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.1","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.2","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.3","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.4","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.5","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.6","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.7","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.8","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.9","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.10","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.11","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.12","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.13","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.14","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.15","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.16","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.17","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.18","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.19","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.20","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.21","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.22","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.23","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.24","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.25","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.26","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.27","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.28","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.29","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.30","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.31","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.32","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.33","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.34","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.35","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"42.36","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"511","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.1","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.2","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.3","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.4","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.5","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.6","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.7","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.8","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.9","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.10","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.11","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.12","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.13","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.14","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.15","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"51.16","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"581","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.1","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.2","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.3","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.4","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.5","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.6","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.7","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.8","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.9","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.10","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.11","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.12","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.13","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.14","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"58.15","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
